id,name,email,username,password,role,photo,email_verified_at,created_at,updated_at
1,"Asep Sunandar","asep.sunandar@securacorp.id","asep.sunandar","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","admin","https://randomuser.me/api/portraits/men/1.jpg","2025-01-15 09:10:00","2025-01-15 09:10:00","2025-01-15 09:10:00"
2,"Siti Aminah","siti.aminah@securacorp.id","siti.aminah","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","admin","https://randomuser.me/api/portraits/women/2.jpg","2025-01-16 11:30:00","2025-01-16 11:30:00","2025-01-16 11:30:00"
3,"Bambang Hartono","bambang.hartono@securacorp.id","bambang.hartono","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","admin","https://randomuser.me/api/portraits/men/3.jpg","2025-01-17 14:00:00","2025-01-17 14:00:00","2025-01-17 14:00:00"
4,"Budi Santoso","budi.santoso@securacorp.id","budi.santoso","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/men/4.jpg","2025-02-01 08:00:00","2025-02-01 08:00:00","2025-02-01 08:00:00"
5,"Dewi Lestari","dewi.lestari@securacorp.id","dewi.lestari","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/women/5.jpg","2025-02-02 08:05:00","2025-02-02 08:05:00","2025-02-02 08:05:00"
6,"Agus Setiawan","agus.setiawan@securacorp.id","agus.setiawan","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/men/6.jpg","2025-02-03 07:55:00","2025-02-03 07:55:00","2025-02-03 07:55:00"
7,"Rina Hartati","rina.hartati@securacorp.id","rina.hartati","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/women/7.jpg","2025-02-04 07:58:00","2025-02-04 07:58:00","2025-02-04 07:58:00"
8,"Joko Prasetyo","joko.prasetyo@securacorp.id","joko.prasetyo","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/men/8.jpg","2025-02-05 08:01:00","2025-02-05 08:01:00","2025-02-05 08:01:00"
9,"Eko Wijoyo","eko.wijoyo@securacorp.id","eko.wijoyo","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/men/9.jpg","2025-02-06 08:03:00","2025-02-06 08:03:00","2025-02-06 08:03:00"
10,"Fitri Handayani","fitri.handayani@securacorp.id","fitri.handayani","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/women/10.jpg","2025-02-07 07:59:00","2025-02-07 07:59:00","2025-02-07 07:59:00"
11,"Heru Susanto","heru.susanto@securacorp.id","heru.susanto","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/men/11.jpg","2025-02-08 08:00:00","2025-02-08 08:00:00","2025-02-08 08:00:00"
12,"Indah Permata","indah.permata@securacorp.id","indah.permata","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/women/12.jpg","2025-02-09 08:02:00","2025-02-09 08:02:00","2025-02-09 08:02:00"
13,"Dedi Irawan","dedi.irawan@securacorp.id","dedi.irawan","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","satpam","https://randomuser.me/api/portraits/men/13.jpg","2025-02-10 07:56:00","2025-02-10 07:56:00","2025-02-10 07:56:00"
